portfolio,workflow,controls,control_count,cost,runs,incident_rate,task_success_rate,safety_success_rate,cascading_failure_rate,policy_violation_rate,human_review_load,review_saturation_rate,rollback_coverage,mean_blast_radius,risk_reduction
none,data_export,,0,0.0,350.0,0.7685714285714286,0.9142857142857143,0.23142857142857143,0.24,0.6685714285714286,0.3057142857142857,0.05142857142857143,0.0,70.10691449814126,0.0
none,email,,0,0.0,350.0,0.36857142857142855,0.9257142857142857,0.6314285714285715,0.10857142857142857,0.32285714285714284,0.14857142857142858,0.02,0.0,46.501395348837214,0.0
none,it_access,,0,0.0,350.0,0.7714285714285715,0.8657142857142858,0.22857142857142856,0.18285714285714286,0.6657142857142857,0.31142857142857144,0.04,0.05555555555555555,69.47077777777778,0.0
none,refund,,0,0.0,350.0,0.58,0.9,0.42,0.19714285714285715,0.4942857142857143,0.34,0.06,0.054187192118226604,36.2667487684729,0.0
context_envelope,data_export,context_envelope,1,12.0,350.0,0.5828571428571429,0.9028571428571428,0.41714285714285715,0.1657142857142857,0.5171428571428571,0.3057142857142857,0.05142857142857143,0.0,70.2671568627451,0.18571428571428572
context_envelope,email,context_envelope,1,12.0,350.0,0.30857142857142855,0.9114285714285715,0.6914285714285714,0.09142857142857143,0.26571428571428574,0.14857142857142858,0.02,0.0,46.93,0.06
context_envelope,it_access,context_envelope,1,12.0,350.0,0.6028571428571429,0.8542857142857143,0.39714285714285713,0.14857142857142858,0.5228571428571429,0.31142857142857144,0.04,0.061611374407582936,70.25691943127963,0.1685714285714286
context_envelope,refund,context_envelope,1,12.0,350.0,0.44571428571428573,0.8828571428571429,0.5542857142857143,0.15714285714285714,0.3742857142857143,0.34,0.06,0.0641025641025641,36.74435897435898,0.13428571428571423
tool_version_lock,data_export,tool_version_lock,1,5.0,350.0,0.6942857142857143,0.9114285714285715,0.3057142857142857,0.21142857142857144,0.6,0.3057142857142857,0.05142857142857143,0.0,70.2243621399177,0.07428571428571429
tool_version_lock,email,tool_version_lock,1,5.0,350.0,0.32,0.9142857142857143,0.68,0.09428571428571429,0.28285714285714286,0.14857142857142858,0.02,0.0,46.81392857142857,0.04857142857142854
tool_version_lock,it_access,tool_version_lock,1,5.0,350.0,0.6857142857142857,0.8542857142857143,0.3142857142857143,0.17142857142857143,0.5885714285714285,0.31142857142857144,0.04,0.058333333333333334,70.05925,0.08571428571428574
tool_version_lock,refund,tool_version_lock,1,5.0,350.0,0.5342857142857143,0.8857142857142857,0.4657142857142857,0.19142857142857142,0.44857142857142857,0.34,0.06,0.0427807486631016,36.847272727272724,0.04571428571428571
permission_scope,data_export,permission_scope,1,10.0,350.0,0.6857142857142857,0.8857142857142857,0.3142857142857143,0.21714285714285714,0.5914285714285714,0.3057142857142857,0.05142857142857143,0.0,69.38024999999999,0.08285714285714285
permission_scope,email,permission_scope,1,10.0,350.0,0.31142857142857144,0.8857142857142857,0.6885714285714286,0.09714285714285714,0.2714285714285714,0.14857142857142858,0.02,0.0,45.999633027522925,0.057142857142857106
permission_scope,it_access,permission_scope,1,10.0,350.0,0.6485714285714286,0.8457142857142858,0.3514285714285714,0.15428571428571428,0.5628571428571428,0.31142857142857144,0.04,0.048458149779735685,68.72881057268724,0.12285714285714289
permission_scope,refund,permission_scope,1,10.0,350.0,0.4857142857142857,0.8714285714285714,0.5142857142857142,0.1742857142857143,0.4114285714285714,0.34,0.06,0.06470588235294118,35.720705882352945,0.09428571428571425
human_review_gate,data_export,human_review_gate,1,45.0,350.0,0.44571428571428573,0.8314285714285714,0.5542857142857143,0.12857142857142856,0.38857142857142857,0.7371428571428571,0.11714285714285715,0.0,69.25051282051281,0.32285714285714284
human_review_gate,email,human_review_gate,1,45.0,350.0,0.18571428571428572,0.8228571428571428,0.8142857142857143,0.04285714285714286,0.15142857142857144,0.6171428571428571,0.06571428571428571,0.0,44.92,0.18285714285714283
human_review_gate,it_access,human_review_gate,1,45.0,350.0,0.41714285714285715,0.7971428571428572,0.5828571428571429,0.10285714285714286,0.3657142857142857,0.6885714285714286,0.11714285714285715,0.04794520547945205,69.87472602739727,0.3542857142857143
human_review_gate,refund,human_review_gate,1,45.0,350.0,0.32571428571428573,0.8228571428571428,0.6742857142857143,0.12571428571428572,0.2714285714285714,0.7257142857142858,0.12571428571428572,0.05263157894736842,36.89868421052632,0.2542857142857142
rollback_hook,data_export,rollback_hook,1,18.0,350.0,0.7028571428571428,0.9057142857142857,0.29714285714285715,0.22,0.6142857142857143,0.3057142857142857,0.05142857142857143,0.0,70.08439024390243,0.06571428571428573
rollback_hook,email,rollback_hook,1,18.0,350.0,0.34,0.92,0.66,0.10571428571428572,0.29428571428571426,0.14857142857142858,0.02,0.0,46.90672268907563,0.028571428571428525
rollback_hook,it_access,rollback_hook,1,18.0,350.0,0.7028571428571428,0.8571428571428571,0.29714285714285715,0.17142857142857143,0.6028571428571429,0.31142857142857144,0.04,0.7723577235772358,40.26158536585367,0.06857142857142862
rollback_hook,refund,rollback_hook,1,18.0,350.0,0.5228571428571429,0.8942857142857142,0.47714285714285715,0.17714285714285713,0.44285714285714284,0.34,0.06,0.7595628415300546,21.0631693989071,0.05714285714285705
external_isolation,data_export,external_isolation,1,14.0,350.0,0.6485714285714286,0.9,0.3514285714285714,0.18285714285714286,0.5657142857142857,0.3057142857142857,0.05142857142857143,0.0,68.27030837004403,0.12
external_isolation,email,external_isolation,1,14.0,350.0,0.3171428571428571,0.9,0.6828571428571428,0.08571428571428572,0.2742857142857143,0.14857142857142858,0.02,0.0,45.34648648648647,0.051428571428571435
external_isolation,it_access,external_isolation,1,14.0,350.0,0.6571428571428571,0.8571428571428571,0.34285714285714286,0.15428571428571428,0.5685714285714286,0.31142857142857144,0.04,0.06086956521739131,68.57421739130436,0.11428571428571432
external_isolation,refund,external_isolation,1,14.0,350.0,0.4714285714285714,0.8771428571428571,0.5285714285714286,0.15714285714285714,0.40285714285714286,0.34,0.06,0.05454545454545454,35.65951515151516,0.10857142857142854
context_envelope+tool_version_lock,data_export,"context_envelope,tool_version_lock",2,17.0,350.0,0.5057142857142857,0.8942857142857142,0.4942857142857143,0.13714285714285715,0.44571428571428573,0.3057142857142857,0.05142857142857143,0.0,70.46531073446329,0.2628571428571429
context_envelope+tool_version_lock,email,"context_envelope,tool_version_lock",2,17.0,350.0,0.2571428571428571,0.8885714285714286,0.7428571428571429,0.07428571428571429,0.22285714285714286,0.14857142857142858,0.02,0.0,47.19755555555556,0.11142857142857143
context_envelope+tool_version_lock,it_access,"context_envelope,tool_version_lock",2,17.0,350.0,0.5171428571428571,0.8457142857142858,0.4828571428571429,0.13714285714285715,0.44571428571428573,0.31142857142857144,0.04,0.06629834254143646,71.16751381215471,0.25428571428571434
context_envelope+tool_version_lock,refund,"context_envelope,tool_version_lock",2,17.0,350.0,0.4057142857142857,0.8771428571428571,0.5942857142857143,0.15142857142857144,0.3342857142857143,0.34,0.06,0.04929577464788732,37.451126760563376,0.17428571428571427
context_envelope+permission_scope,data_export,"context_envelope,permission_scope",2,22.0,350.0,0.5028571428571429,0.8828571428571429,0.49714285714285716,0.1457142857142857,0.44285714285714284,0.3057142857142857,0.05142857142857143,0.0,69.45852272727272,0.2657142857142857
context_envelope+permission_scope,email,"context_envelope,permission_scope",2,22.0,350.0,0.24571428571428572,0.8742857142857143,0.7542857142857143,0.07428571428571429,0.20857142857142857,0.14857142857142858,0.02,0.0,46.1679069767442,0.12285714285714283
context_envelope+permission_scope,it_access,"context_envelope,permission_scope",2,22.0,350.0,0.4857142857142857,0.8371428571428572,0.5142857142857142,0.12,0.4257142857142857,0.31142857142857144,0.04,0.052941176470588235,69.37164705882354,0.28571428571428575
context_envelope+permission_scope,refund,"context_envelope,permission_scope",2,22.0,350.0,0.3628571428571429,0.86,0.6371428571428571,0.13428571428571429,0.3,0.34,0.06,0.07874015748031496,35.96165354330709,0.21714285714285708
context_envelope+human_review_gate,data_export,"context_envelope,human_review_gate",2,57.0,350.0,0.36,0.8142857142857143,0.64,0.09714285714285714,0.3142857142857143,0.7371428571428571,0.11714285714285715,0.0,69.41873015873016,0.4085714285714286
context_envelope+human_review_gate,email,"context_envelope,human_review_gate",2,57.0,350.0,0.15428571428571428,0.7942857142857143,0.8457142857142858,0.037142857142857144,0.12571428571428572,0.6171428571428571,0.06571428571428571,0.0,45.41259259259261,0.21428571428571427
context_envelope+human_review_gate,it_access,"context_envelope,human_review_gate",2,57.0,350.0,0.3342857142857143,0.7914285714285715,0.6657142857142857,0.08857142857142856,0.2914285714285714,0.6885714285714286,0.11714285714285715,0.05128205128205128,70.88700854700855,0.43714285714285717
context_envelope+human_review_gate,refund,"context_envelope,human_review_gate",2,57.0,350.0,0.26857142857142857,0.8028571428571428,0.7314285714285714,0.09714285714285714,0.2257142857142857,0.7257142857142858,0.12571428571428572,0.06382978723404255,36.66436170212767,0.3114285714285714
context_envelope+rollback_hook,data_export,"context_envelope,rollback_hook",2,30.0,350.0,0.5342857142857143,0.8971428571428571,0.4657142857142857,0.15142857142857144,0.4742857142857143,0.3057142857142857,0.05142857142857143,0.0,70.17422459893046,0.23428571428571432
context_envelope+rollback_hook,email,"context_envelope,rollback_hook",2,30.0,350.0,0.28285714285714286,0.8971428571428571,0.7171428571428572,0.08857142857142856,0.24,0.14857142857142858,0.02,0.0,47.3840404040404,0.08571428571428569
context_envelope+rollback_hook,it_access,"context_envelope,rollback_hook",2,30.0,350.0,0.5571428571428572,0.8457142857142858,0.44285714285714284,0.14285714285714285,0.48,0.31142857142857144,0.04,0.7743589743589744,40.726051282051294,0.2142857142857143
context_envelope+rollback_hook,refund,"context_envelope,rollback_hook",2,30.0,350.0,0.4057142857142857,0.8885714285714286,0.5942857142857143,0.1457142857142857,0.33714285714285713,0.34,0.06,0.795774647887324,20.676338028169013,0.17428571428571427
context_envelope+external_isolation,data_export,"context_envelope,external_isolation",2,26.0,350.0,0.4828571428571429,0.8914285714285715,0.5171428571428571,0.12285714285714286,0.43142857142857144,0.3057142857142857,0.05142857142857143,0.0,68.21727810650889,0.2857142857142857
context_envelope+external_isolation,email,"context_envelope,external_isolation",2,26.0,350.0,0.24857142857142858,0.8771428571428571,0.7514285714285714,0.06285714285714286,0.20857142857142857,0.14857142857142858,0.02,0.0,45.3112643678161,0.11999999999999997
context_envelope+external_isolation,it_access,"context_envelope,external_isolation",2,26.0,350.0,0.52,0.8485714285714285,0.48,0.12285714285714286,0.4514285714285714,0.31142857142857144,0.04,0.06593406593406594,68.9673076923077,0.25142857142857145
context_envelope+external_isolation,refund,"context_envelope,external_isolation",2,26.0,350.0,0.35428571428571426,0.8657142857142858,0.6457142857142857,0.12571428571428572,0.3,0.34,0.06,0.06451612903225806,36.1058064516129,0.2257142857142857
permission_scope+tool_version_lock,data_export,"tool_version_lock,permission_scope",2,15.0,350.0,0.6057142857142858,0.8771428571428571,0.3942857142857143,0.18857142857142858,0.52,0.3057142857142857,0.05142857142857143,0.0,69.52330188679245,0.1628571428571428
permission_scope+tool_version_lock,email,"tool_version_lock,permission_scope",2,15.0,350.0,0.2571428571428571,0.8742857142857143,0.7428571428571429,0.07714285714285714,0.2257142857142857,0.14857142857142858,0.02,0.0,46.05733333333333,0.11142857142857143
permission_scope+tool_version_lock,it_access,"tool_version_lock,permission_scope",2,15.0,350.0,0.5657142857142857,0.8342857142857143,0.4342857142857143,0.14285714285714285,0.48857142857142855,0.31142857142857144,0.04,0.050505050505050504,69.29732323232325,0.20571428571428574
permission_scope+tool_version_lock,refund,"tool_version_lock,permission_scope",2,15.0,350.0,0.44857142857142857,0.8571428571428571,0.5514285714285714,0.16857142857142857,0.3742857142857143,0.34,0.06,0.050955414012738856,36.269363057324846,0.1314285714285714
human_review_gate+tool_version_lock,data_export,"tool_version_lock,human_review_gate",2,50.0,350.0,0.38285714285714284,0.8228571428571428,0.6171428571428571,0.10857142857142857,0.33714285714285713,0.7371428571428571,0.11714285714285715,0.0,69.5728358208955,0.38571428571428573
human_review_gate+tool_version_lock,email,"tool_version_lock,human_review_gate",2,50.0,350.0,0.1657142857142857,0.8,0.8342857142857143,0.037142857142857144,0.14,0.6171428571428571,0.06571428571428571,0.0,44.99517241379311,0.20285714285714285
human_review_gate+tool_version_lock,it_access,"tool_version_lock,human_review_gate",2,50.0,350.0,0.36,0.7857142857142857,0.64,0.10285714285714286,0.32,0.6885714285714286,0.11714285714285715,0.047619047619047616,71.36079365079367,0.4114285714285715
human_review_gate+tool_version_lock,refund,"tool_version_lock,human_review_gate",2,50.0,350.0,0.3,0.8057142857142857,0.7,0.11714285714285715,0.24571428571428572,0.7257142857142858,0.12571428571428572,0.047619047619047616,37.17180952380953,0.27999999999999997
rollback_hook+tool_version_lock,data_export,"tool_version_lock,rollback_hook",2,23.0,350.0,0.6257142857142857,0.9,0.3742857142857143,0.19142857142857142,0.5428571428571428,0.3057142857142857,0.05142857142857143,0.0,70.20429223744291,0.1428571428571429
rollback_hook+tool_version_lock,email,"tool_version_lock,rollback_hook",2,23.0,350.0,0.3,0.9028571428571428,0.7,0.09142857142857143,0.26285714285714284,0.14857142857142858,0.02,0.0,47.09009523809524,0.06857142857142856
rollback_hook+tool_version_lock,it_access,"tool_version_lock,rollback_hook",2,23.0,350.0,0.6114285714285714,0.8485714285714285,0.38857142857142857,0.16,0.52,0.31142857142857144,0.04,0.7663551401869159,41.06612149532711,0.16000000000000003
rollback_hook+tool_version_lock,refund,"tool_version_lock,rollback_hook",2,23.0,350.0,0.49142857142857144,0.8857142857142857,0.5085714285714286,0.17142857142857143,0.4114285714285714,0.34,0.06,0.7616279069767442,21.144999999999996,0.08857142857142852
external_isolation+tool_version_lock,data_export,"tool_version_lock,external_isolation",2,19.0,350.0,0.5714285714285714,0.8857142857142857,0.42857142857142855,0.15428571428571428,0.4942857142857143,0.3057142857142857,0.05142857142857143,0.0,68.2204,0.19714285714285718
external_isolation+tool_version_lock,email,"tool_version_lock,external_isolation",2,19.0,350.0,0.26,0.88,0.74,0.06285714285714286,0.2257142857142857,0.14857142857142858,0.02,0.0,45.049670329670334,0.10857142857142854
external_isolation+tool_version_lock,it_access,"tool_version_lock,external_isolation",2,19.0,350.0,0.5742857142857143,0.8514285714285714,0.4257142857142857,0.14285714285714285,0.4942857142857143,0.31142857142857144,0.04,0.06467661691542288,69.11194029850748,0.19714285714285718
external_isolation+tool_version_lock,refund,"tool_version_lock,external_isolation",2,19.0,350.0,0.42857142857142855,0.8685714285714285,0.5714285714285714,0.15142857142857144,0.3628571428571429,0.34,0.06,0.04,36.257333333333335,0.1514285714285714
human_review_gate+permission_scope,data_export,"permission_scope,human_review_gate",2,55.0,350.0,0.38571428571428573,0.8085714285714286,0.6142857142857143,0.11428571428571428,0.3314285714285714,0.7371428571428571,0.11714285714285715,0.0,68.64814814814815,0.38285714285714284
human_review_gate+permission_scope,email,"permission_scope,human_review_gate",2,55.0,350.0,0.17142857142857143,0.7857142857142857,0.8285714285714286,0.04,0.13714285714285715,0.6171428571428571,0.06571428571428571,0.0,44.56033333333335,0.19714285714285712
human_review_gate+permission_scope,it_access,"permission_scope,human_review_gate",2,55.0,350.0,0.37714285714285717,0.7714285714285715,0.6228571428571429,0.08571428571428572,0.32857142857142857,0.6885714285714286,0.11714285714285715,0.05303030303030303,68.39659090909092,0.3942857142857143
human_review_gate+permission_scope,refund,"permission_scope,human_review_gate",2,55.0,350.0,0.26285714285714284,0.7971428571428572,0.7371428571428571,0.11142857142857143,0.21714285714285714,0.7257142857142858,0.12571428571428572,0.05434782608695652,36.5754347826087,0.3171428571428571
permission_scope+rollback_hook,data_export,"permission_scope,rollback_hook",2,28.0,350.0,0.6314285714285715,0.8771428571428571,0.36857142857142855,0.19428571428571428,0.5514285714285714,0.3057142857142857,0.05142857142857143,0.0,69.15800904977375,0.13714285714285712
permission_scope+rollback_hook,email,"permission_scope,rollback_hook",2,28.0,350.0,0.2742857142857143,0.8771428571428571,0.7257142857142858,0.08857142857142856,0.2342857142857143,0.14857142857142858,0.02,0.0,46.235833333333325,0.09428571428571425
permission_scope+rollback_hook,it_access,"permission_scope,rollback_hook",2,28.0,350.0,0.5942857142857143,0.84,0.4057142857142857,0.14285714285714285,0.5142857142857142,0.31142857142857144,0.04,0.7644230769230769,39.90331730769231,0.17714285714285716
permission_scope+rollback_hook,refund,"permission_scope,rollback_hook",2,28.0,350.0,0.43142857142857144,0.8628571428571429,0.5685714285714286,0.16,0.3628571428571429,0.34,0.06,0.7549668874172185,21.09496688741722,0.14857142857142852
external_isolation+permission_scope,data_export,"permission_scope,external_isolation",2,24.0,350.0,0.5857142857142857,0.8685714285714285,0.4142857142857143,0.16857142857142857,0.5085714285714286,0.3057142857142857,0.05142857142857143,0.0,67.66965853658536,0.18285714285714283
external_isolation+permission_scope,email,"permission_scope,external_isolation",2,24.0,350.0,0.26857142857142857,0.8714285714285714,0.7314285714285714,0.07142857142857142,0.22857142857142856,0.14857142857142858,0.02,0.0,44.48553191489361,0.09999999999999998
