budget,portfolio,controls,cost,incident_rate,worst_workflow_incident_rate,risk_reduction,task_success_rate,human_review_load,objective,method
0,none,[],0.0,0.6221428571428571,0.7714285714285715,0.0,0.9014285714285715,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
5,tool_version_lock,['tool_version_lock'],5.0,0.5585714285714286,0.6942857142857143,0.0635714285714285,0.8914285714285715,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
10,permission_scope,['permission_scope'],10.0,0.5328571428571428,0.6857142857142857,0.0892857142857143,0.8721428571428571,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
15,permission_scope+tool_version_lock,"['tool_version_lock', 'permission_scope']",15.0,0.4692857142857143,0.6057142857142858,0.1528571428571428,0.8607142857142858,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
20,context_envelope+tool_version_lock,"['context_envelope', 'tool_version_lock']",17.0,0.42142857142857143,0.5171428571428571,0.20071428571428568,0.8764285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
25,context_envelope+permission_scope,"['context_envelope', 'permission_scope']",22.0,0.3992857142857143,0.5028571428571429,0.2228571428571428,0.8635714285714285,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
30,context_envelope+permission_scope+tool_version_lock,"['context_envelope', 'tool_version_lock', 'permission_scope']",27.0,0.33714285714285713,0.42857142857142855,0.285,0.8542857142857143,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
35,context_envelope+permission_scope+tool_version_lock,"['context_envelope', 'tool_version_lock', 'permission_scope']",27.0,0.33714285714285713,0.42857142857142855,0.285,0.8542857142857143,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
40,context_envelope+permission_scope+tool_version_lock,"['context_envelope', 'tool_version_lock', 'permission_scope']",27.0,0.33714285714285713,0.42857142857142855,0.285,0.8542857142857143,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
45,context_envelope+permission_scope+tool_version_lock,"['context_envelope', 'tool_version_lock', 'permission_scope']",27.0,0.33714285714285713,0.42857142857142855,0.285,0.8542857142857143,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
50,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
55,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
60,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
65,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
70,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
75,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
80,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
85,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
90,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
95,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
100,context_envelope+external_isolation+rollback_hook+tool_version_lock,"['context_envelope', 'tool_version_lock', 'rollback_hook', 'external_isolation']",49.0,0.31,0.3942857142857143,0.3121428571428571,0.8514285714285714,0.2764285714285714,average_risk,exhaustive empirical search over all 64 control portfolios
