event_id,tenant_id,event_type,entity_id,actor_id,payload_json,previous_hash,event_hash,created_at
21,acme-demo,execution_result_recorded,demo-request-010,grant_permission-service,"{""external_reference"":""synthetic-demo-request-010"",""status"":""succeeded"",""tool_name"":""grant_permission""}",42ae1d7639988848cfe96a263cba02f570a778b262ee0f048892fca514fee633,9c155581a7ff6f4cde379d1d9256f3bfe1a6c71c0dbba31e2db90b99c2f5bbe2,2026-08-28T09:00:20+00:00
20,acme-demo,grant_consumed,grt_f1c945622c8b494d8d8aefea35141266,grant_permission-service,"{""request_id"":""demo-request-010"",""tool_name"":""grant_permission""}",a7b784e8a3db300ca818c0dcb6b3e03ba201507802a566f4b8bf1a3e505e19b4,42ae1d7639988848cfe96a263cba02f570a778b262ee0f048892fca514fee633,2026-08-28T09:00:19+00:00
19,acme-demo,approval_approved,apr_efa50319d9e145538afbe3e5bd5d780d,security-reviewer,"{""grant_issued"":true,""reason"":""Time-bounded admin access approved for named deployment""}",7ba62933ba26f9e0b6918b31c0459e6e09a665dac292baafa1f57d93415986ac,a7b784e8a3db300ca818c0dcb6b3e03ba201507802a566f4b8bf1a3e505e19b4,2026-08-28T09:00:18+00:00
18,acme-demo,approval_rejected,apr_9dac536a13024115a1925c76d0ed5d5c,compliance-reviewer,"{""grant_issued"":false,""reason"":""Export purpose valid but requested field set exceeds minimum necessary data""}",1abc856690ab18a86a9c456838f9ad54fe518330327a24bc3bb2409a2f7ebb95,7ba62933ba26f9e0b6918b31c0459e6e09a665dac292baafa1f57d93415986ac,2026-08-28T09:00:17+00:00
17,acme-demo,execution_result_recorded,demo-request-002,refund_order-service,"{""external_reference"":""synthetic-demo-request-002"",""status"":""succeeded"",""tool_name"":""refund_order""}",90a1b0759852842e5cfc2f30dfb197da53d38c3088aa98f7fdaa3b74516b2b58,1abc856690ab18a86a9c456838f9ad54fe518330327a24bc3bb2409a2f7ebb95,2026-08-28T09:00:16+00:00
16,acme-demo,grant_consumed,grt_fc0efe6c3035478c9a6f79641c5dc179,refund_order-service,"{""request_id"":""demo-request-002"",""tool_name"":""refund_order""}",8fd46ccd77465688d5c86156d1bc7cc45eb3ce629870a5bec5ecc91dd2330680,90a1b0759852842e5cfc2f30dfb197da53d38c3088aa98f7fdaa3b74516b2b58,2026-08-28T09:00:15+00:00
15,acme-demo,approval_approved,apr_d764c03aafe447fa9696b913deeffbf0,finance-reviewer,"{""grant_issued"":true,""reason"":""Refund amount and explicit user confirmation verified""}",acf6fd53c5a52a8b2caae300ac89797cb06a19041e66ca8d9e0426c3d084f2a0,8fd46ccd77465688d5c86156d1bc7cc45eb3ce629870a5bec5ecc91dd2330680,2026-08-28T09:00:14+00:00
14,acme-demo,action_evaluated,demo-request-010,security-agent,"{""outcome"":""review"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""HUMAN_APPROVAL_REQUIRED""],""tool_name"":""grant_permission"",""workflow"":""it_access""}",9a0c33303a0cec0b85bd57f98fc9b78137907c3bfbce390dc9f90e0ab280e381,acf6fd53c5a52a8b2caae300ac89797cb06a19041e66ca8d9e0426c3d084f2a0,2026-08-28T09:00:13+00:00
13,acme-demo,action_evaluated,demo-request-009,security-agent,"{""outcome"":""deny"",""policy_version"":""2026-08-28.1"",""reason_codes"":[""ACCESS_EXPIRATION_REQUIRED""],""tool_name"":""grant_permission"",""workflow"":""it_access""}",5d6ea3d8e648d8a595c0b71d2e6c255d2039ac039ba330007a24c1bf80dfc7ad,9a0c33303a0cec0b85bd57f98fc9b78137907c3bfbce390dc9f90e0ab280e381,2026-08-28T09:00:12+00:00
12,acme-demo,execution_result_recorded,demo-request-008,verify_identity-service,"{""external_reference"":""synthetic-demo-request-008"",""status"":""succeeded"",""tool_name"":""verify_identity""}",9e2b3c031fc8bea4777cea2d58855e1b024cd72888533b4a5a79dd1de6d1145f,5d6ea3d8e648d8a595c0b71d2e6c255d2039ac039ba330007a24c1bf80dfc7ad,2026-08-28T09:00:11+00:00
11,acme-demo,grant_consumed,grt_c070c030ab674c079f439836bf2f91a1,verify_identity-service,"{""request_id"":""demo-request-008"",""tool_name"":""verify_identity""}",931be67ee9814aa600964079c193c83240bb80e5a2134eeb7972ca2dcb5dc95a,9e2b3c031fc8bea4777cea2d58855e1b024cd72888533b4a5a79dd1de6d1145f,2026-08-28T09:00:10+00:00
