model,mean_predicted_risk,observed_incident_rate,rows
Logistic Regression,0.09926453203593968,0.06341463414634146,205
Logistic Regression,0.19513473805666093,0.2048780487804878,205
Logistic Regression,0.2871592435544926,0.2097560975609756,205
Logistic Regression,0.3742331471200257,0.35121951219512193,205
Logistic Regression,0.4541473720512206,0.4264705882352941,204
Logistic Regression,0.519519296699649,0.4585365853658537,205
Logistic Regression,0.6034394481466232,0.6553398058252428,206
Logistic Regression,0.674971195322994,0.5221674876847291,203
Logistic Regression,0.8089893776717074,0.7560975609756098,205
Logistic Regression,0.8849702601113474,0.9365853658536586,205
Logistic Regression + Isotonic,0.18965251852970613,0.10437710437710437,297
Logistic Regression + Isotonic,0.3627264620294753,0.3266509433962264,848
Logistic Regression + Isotonic,0.4378349341568479,0.5409836065573771,122
Logistic Regression + Isotonic,0.5056617730738592,0.6435643564356436,202
Logistic Regression + Isotonic,0.6804645312909207,0.6459459459459459,370
Logistic Regression + Isotonic,0.8957898866702456,1.0,18
Logistic Regression + Isotonic,0.9477878290531648,0.9319371727748691,191
