task,model,actual,predicted,count
failure_attribution,Multinomial Logistic Regression,F01,F01,17
failure_attribution,Multinomial Logistic Regression,F01,F02,10
failure_attribution,Multinomial Logistic Regression,F01,F03,5
failure_attribution,Multinomial Logistic Regression,F01,F04,28
failure_attribution,Multinomial Logistic Regression,F01,F05,27
failure_attribution,Multinomial Logistic Regression,F01,F06,2
failure_attribution,Multinomial Logistic Regression,F01,F07,16
failure_attribution,Multinomial Logistic Regression,F01,F09,30
failure_attribution,Multinomial Logistic Regression,F02,F01,22
failure_attribution,Multinomial Logistic Regression,F02,F02,11
failure_attribution,Multinomial Logistic Regression,F02,F03,1
failure_attribution,Multinomial Logistic Regression,F02,F04,13
failure_attribution,Multinomial Logistic Regression,F02,F05,36
failure_attribution,Multinomial Logistic Regression,F02,F06,8
failure_attribution,Multinomial Logistic Regression,F02,F07,7
failure_attribution,Multinomial Logistic Regression,F02,F09,26
failure_attribution,Multinomial Logistic Regression,F03,F01,12
failure_attribution,Multinomial Logistic Regression,F03,F02,6
failure_attribution,Multinomial Logistic Regression,F03,F03,15
failure_attribution,Multinomial Logistic Regression,F03,F04,27
failure_attribution,Multinomial Logistic Regression,F03,F05,3
failure_attribution,Multinomial Logistic Regression,F03,F06,9
failure_attribution,Multinomial Logistic Regression,F03,F07,15
failure_attribution,Multinomial Logistic Regression,F03,F09,15
failure_attribution,Multinomial Logistic Regression,F04,F01,16
failure_attribution,Multinomial Logistic Regression,F04,F02,3
failure_attribution,Multinomial Logistic Regression,F04,F03,12
failure_attribution,Multinomial Logistic Regression,F04,F04,54
failure_attribution,Multinomial Logistic Regression,F04,F05,15
failure_attribution,Multinomial Logistic Regression,F04,F06,2
failure_attribution,Multinomial Logistic Regression,F04,F07,14
failure_attribution,Multinomial Logistic Regression,F04,F09,24
failure_attribution,Multinomial Logistic Regression,F05,F01,27
failure_attribution,Multinomial Logistic Regression,F05,F02,6
failure_attribution,Multinomial Logistic Regression,F05,F03,1
failure_attribution,Multinomial Logistic Regression,F05,F04,18
failure_attribution,Multinomial Logistic Regression,F05,F05,24
failure_attribution,Multinomial Logistic Regression,F05,F06,14
failure_attribution,Multinomial Logistic Regression,F05,F07,14
failure_attribution,Multinomial Logistic Regression,F05,F09,18
failure_attribution,Multinomial Logistic Regression,F06,F01,1
failure_attribution,Multinomial Logistic Regression,F06,F02,8
failure_attribution,Multinomial Logistic Regression,F06,F03,8
failure_attribution,Multinomial Logistic Regression,F06,F04,15
failure_attribution,Multinomial Logistic Regression,F06,F05,47
failure_attribution,Multinomial Logistic Regression,F06,F06,20
failure_attribution,Multinomial Logistic Regression,F06,F07,5
failure_attribution,Multinomial Logistic Regression,F06,F09,15
failure_attribution,Multinomial Logistic Regression,F07,F01,11
failure_attribution,Multinomial Logistic Regression,F07,F02,4
failure_attribution,Multinomial Logistic Regression,F07,F03,8
failure_attribution,Multinomial Logistic Regression,F07,F04,26
failure_attribution,Multinomial Logistic Regression,F07,F05,31
failure_attribution,Multinomial Logistic Regression,F07,F06,11
failure_attribution,Multinomial Logistic Regression,F07,F07,15
failure_attribution,Multinomial Logistic Regression,F07,F09,23
failure_attribution,Multinomial Logistic Regression,F09,F01,30
failure_attribution,Multinomial Logistic Regression,F09,F02,5
failure_attribution,Multinomial Logistic Regression,F09,F03,1
failure_attribution,Multinomial Logistic Regression,F09,F04,9
failure_attribution,Multinomial Logistic Regression,F09,F05,8
failure_attribution,Multinomial Logistic Regression,F09,F06,0
failure_attribution,Multinomial Logistic Regression,F09,F07,5
failure_attribution,Multinomial Logistic Regression,F09,F09,10
severity_prediction,Multinomial Logistic Regression,critical,critical,190
severity_prediction,Multinomial Logistic Regression,critical,high,22
severity_prediction,Multinomial Logistic Regression,critical,moderate,0
severity_prediction,Multinomial Logistic Regression,high,critical,29
severity_prediction,Multinomial Logistic Regression,high,high,407
severity_prediction,Multinomial Logistic Regression,high,moderate,34
severity_prediction,Multinomial Logistic Regression,moderate,critical,0
severity_prediction,Multinomial Logistic Regression,moderate,high,2
severity_prediction,Multinomial Logistic Regression,moderate,moderate,255
governance_recommendation,Multinomial Logistic Regression,context_envelope,context_envelope,24
governance_recommendation,Multinomial Logistic Regression,context_envelope,external_isolation,0
governance_recommendation,Multinomial Logistic Regression,context_envelope,human_review_gate,3
governance_recommendation,Multinomial Logistic Regression,context_envelope,permission_scope,0
governance_recommendation,Multinomial Logistic Regression,context_envelope,rollback_hook,3
governance_recommendation,Multinomial Logistic Regression,context_envelope,tool_version_lock,3
governance_recommendation,Multinomial Logistic Regression,external_isolation,context_envelope,0
governance_recommendation,Multinomial Logistic Regression,external_isolation,external_isolation,10
governance_recommendation,Multinomial Logistic Regression,external_isolation,human_review_gate,0
governance_recommendation,Multinomial Logistic Regression,external_isolation,permission_scope,1
governance_recommendation,Multinomial Logistic Regression,external_isolation,rollback_hook,0
governance_recommendation,Multinomial Logistic Regression,external_isolation,tool_version_lock,0
governance_recommendation,Multinomial Logistic Regression,human_review_gate,context_envelope,0
governance_recommendation,Multinomial Logistic Regression,human_review_gate,external_isolation,0
governance_recommendation,Multinomial Logistic Regression,human_review_gate,human_review_gate,3
governance_recommendation,Multinomial Logistic Regression,human_review_gate,permission_scope,0
governance_recommendation,Multinomial Logistic Regression,human_review_gate,rollback_hook,2
governance_recommendation,Multinomial Logistic Regression,human_review_gate,tool_version_lock,1
governance_recommendation,Multinomial Logistic Regression,permission_scope,context_envelope,0
governance_recommendation,Multinomial Logistic Regression,permission_scope,external_isolation,7
governance_recommendation,Multinomial Logistic Regression,permission_scope,human_review_gate,0
governance_recommendation,Multinomial Logistic Regression,permission_scope,permission_scope,16
governance_recommendation,Multinomial Logistic Regression,permission_scope,rollback_hook,1
governance_recommendation,Multinomial Logistic Regression,permission_scope,tool_version_lock,0
governance_recommendation,Multinomial Logistic Regression,rollback_hook,context_envelope,10
governance_recommendation,Multinomial Logistic Regression,rollback_hook,external_isolation,2
governance_recommendation,Multinomial Logistic Regression,rollback_hook,human_review_gate,5
governance_recommendation,Multinomial Logistic Regression,rollback_hook,permission_scope,2
governance_recommendation,Multinomial Logistic Regression,rollback_hook,rollback_hook,5
governance_recommendation,Multinomial Logistic Regression,rollback_hook,tool_version_lock,1
governance_recommendation,Multinomial Logistic Regression,tool_version_lock,context_envelope,6
governance_recommendation,Multinomial Logistic Regression,tool_version_lock,external_isolation,3
governance_recommendation,Multinomial Logistic Regression,tool_version_lock,human_review_gate,6
governance_recommendation,Multinomial Logistic Regression,tool_version_lock,permission_scope,4
governance_recommendation,Multinomial Logistic Regression,tool_version_lock,rollback_hook,11
governance_recommendation,Multinomial Logistic Regression,tool_version_lock,tool_version_lock,23
