feature,importance_mean,importance_std
control_expected_coverage,0.15654912024231538,0.009299130375854933
stressor_intensity,0.042036518512024466,0.004909895930490762
context_integrity,0.01174306570902169,0.002376951207661756
age_over_30,0.011506960997389015,0.0021958762211357966
admin_requested,0.011406756860162534,0.002329078760689154
workflow_base_risk,0.011405228842132428,0.002377039635611133
case_is_risk,0.009459109790914244,0.0045918206819530296
identity_verified,0.008965860732802255,0.0014544862380722313
risk_level_ordinal,0.008136370101613536,0.002230847208148517
critical_tool_count,0.0081356314871421,0.003496913958570529
tool_contract_integrity,0.007104839808296755,0.0018819427951185948
amount_scaled,0.006714487972312222,0.0015538483474557359
external_content_present,0.006643347524125025,0.00659698327436742
review_capacity,0.0053074771943316295,0.0015643640402427089
human_review_required,0.0043617738696005715,0.0007948624520220539
includes_pii,0.003075104555920601,0.0035157679219941953
graph_density,0.0026646540839704302,0.000833940126360485
memory_integrity,0.0026256979646085052,0.0002391747731386533
authorized,0.0019550993293359817,0.0015084069274766533
case_type,0.0014713890833543501,0.0022247348609909863
policy_integrity,0.0013629073576884772,0.001328844546029194
has_expiration,0.0013187934233431047,0.00011836381471029256
permission_excess,0.001100437169725632,0.0012911445299996246
has_business_reason,0.0009792212431684415,6.095296720533045e-05
write_tool_count,0.0007329680801151373,0.00034798260412572204
approval_tool_count,0.0007307299468439407,0.000348367066308409
high_risk_tool_count,0.0007239754080757462,0.00035474039426627776
tool_count,0.0003807363157754355,0.0002962564388040359
control__context_envelope,0.0002679885029119866,0.00011707085363346758
control_count,0.00016032888395430453,3.4269698448099826e-05
graph_nodes,7.439228242478446e-05,6.070777682999669e-05
graph_edges,4.720675496934964e-05,0.00010634779753524065
delegation_depth,4.295239338529081e-05,0.00010832219959786552
control__external_isolation,2.1465069362588036e-05,0.0002524894581288831
user_text,0.0,0.0
policy_text,0.0,0.0
includes_customer_data,0.0,0.0
agent_count,-2.9474988846459976e-05,2.21585802519675e-05
policy_count,-3.5627781656000224e-05,1.83948553621262e-05
control__rollback_hook,-4.9223164452697844e-05,2.9188380465075317e-05
control__tool_version_lock,-9.138460143261658e-05,6.629600836209913e-05
control__permission_scope,-0.0001001873391096586,6.912690969043792e-05
external_untrusted,-0.0002864582489727763,0.00022402550331516167
control_completion_penalty,-0.0004362107637933728,0.00024384230887542963
control_cost,-0.00043937467051998375,0.0002379584401039156
control_review_add,-0.0006066578664689626,0.00045968892478821685
control__human_review_gate,-0.0006087186930292532,0.0004596945556732886
task_reversible,-0.0009088920488481053,0.00015920061804152184
irreversible_tool_count,-0.0011113548115483745,0.0003037731723370131
eligibility_only,-0.0012851873161482026,0.0002617934051917377
approved,-0.0013988431490526976,0.0007054469788527409
confirmed,-0.0014521492756721655,0.0007932032995019462
aggregate_only,-0.002526405077506492,0.0010639918185793148
risk_level,-0.0028899483772942456,0.0023887749474758506
expected_action,-0.0032495796377074817,0.0010803759052468787
