task_id,workflow,case_type,split
data_export_005,data_export,normal,test
data_export_017,data_export,normal,test
data_export_019,data_export,normal,test
data_export_020,data_export,normal,test
data_export_032,data_export,risk,test
data_export_034,data_export,risk,test
data_export_036,data_export,risk,test
data_export_037,data_export,risk,test
email_011,email,normal,test
email_014,email,normal,test
email_020,email,normal,test
email_022,email,normal,test
email_027,email,risk,test
email_029,email,risk,test
email_033,email,risk,test
email_040,email,risk,test
it_access_007,it_access,normal,test
it_access_010,it_access,normal,test
it_access_017,it_access,normal,test
it_access_025,it_access,normal,test
it_access_028,it_access,risk,test
it_access_031,it_access,risk,test
it_access_032,it_access,risk,test
it_access_041,it_access,risk,test
refund_005,refund,normal,test
refund_016,refund,normal,test
refund_018,refund,normal,test
refund_024,refund,normal,test
refund_029,refund,risk,test
refund_031,refund,risk,test
refund_038,refund,risk,test
refund_043,refund,risk,test
data_export_002,data_export,normal,train
data_export_003,data_export,normal,train
data_export_004,data_export,normal,train
data_export_006,data_export,normal,train
data_export_007,data_export,normal,train
data_export_009,data_export,normal,train
data_export_010,data_export,normal,train
data_export_011,data_export,normal,train
data_export_012,data_export,normal,train
data_export_013,data_export,normal,train
data_export_015,data_export,normal,train
data_export_016,data_export,normal,train
data_export_018,data_export,normal,train
data_export_021,data_export,normal,train
data_export_022,data_export,normal,train
data_export_023,data_export,normal,train
data_export_024,data_export,normal,train
data_export_027,data_export,risk,train
data_export_028,data_export,risk,train
data_export_029,data_export,risk,train
data_export_030,data_export,risk,train
data_export_031,data_export,risk,train
data_export_035,data_export,risk,train
data_export_038,data_export,risk,train
data_export_039,data_export,risk,train
data_export_041,data_export,risk,train
data_export_042,data_export,risk,train
data_export_043,data_export,risk,train
data_export_045,data_export,risk,train
data_export_046,data_export,risk,train
data_export_047,data_export,risk,train
data_export_048,data_export,risk,train
data_export_049,data_export,risk,train
data_export_050,data_export,risk,train
email_001,email,normal,train
email_004,email,normal,train
email_005,email,normal,train
email_006,email,normal,train
email_007,email,normal,train
email_008,email,normal,train
email_009,email,normal,train
email_010,email,normal,train
email_012,email,normal,train
email_013,email,normal,train
email_015,email,normal,train
email_016,email,normal,train
email_017,email,normal,train
email_018,email,normal,train
email_023,email,normal,train
email_024,email,normal,train
email_025,email,normal,train
email_026,email,risk,train
email_028,email,risk,train
email_030,email,risk,train
email_031,email,risk,train
email_032,email,risk,train
email_034,email,risk,train
email_036,email,risk,train
email_037,email,risk,train
email_038,email,risk,train
email_039,email,risk,train
email_041,email,risk,train
email_042,email,risk,train
email_045,email,risk,train
email_046,email,risk,train
email_047,email,risk,train
email_048,email,risk,train
email_049,email,risk,train
it_access_001,it_access,normal,train
it_access_002,it_access,normal,train
it_access_004,it_access,normal,train
it_access_005,it_access,normal,train
it_access_006,it_access,normal,train
it_access_008,it_access,normal,train
it_access_009,it_access,normal,train
it_access_011,it_access,normal,train
it_access_012,it_access,normal,train
it_access_013,it_access,normal,train
it_access_014,it_access,normal,train
it_access_016,it_access,normal,train
it_access_019,it_access,normal,train
it_access_020,it_access,normal,train
it_access_022,it_access,normal,train
it_access_023,it_access,normal,train
it_access_024,it_access,normal,train
it_access_026,it_access,risk,train
it_access_027,it_access,risk,train
it_access_029,it_access,risk,train
it_access_033,it_access,risk,train
it_access_034,it_access,risk,train
it_access_035,it_access,risk,train
it_access_036,it_access,risk,train
it_access_037,it_access,risk,train
it_access_038,it_access,risk,train
it_access_039,it_access,risk,train
it_access_040,it_access,risk,train
it_access_042,it_access,risk,train
it_access_044,it_access,risk,train
it_access_045,it_access,risk,train
it_access_047,it_access,risk,train
it_access_048,it_access,risk,train
it_access_049,it_access,risk,train
refund_001,refund,normal,train
refund_002,refund,normal,train
refund_003,refund,normal,train
refund_006,refund,normal,train
refund_008,refund,normal,train
refund_009,refund,normal,train
refund_010,refund,normal,train
refund_011,refund,normal,train
refund_012,refund,normal,train
refund_014,refund,normal,train
refund_015,refund,normal,train
refund_017,refund,normal,train
refund_019,refund,normal,train
refund_021,refund,normal,train
refund_022,refund,normal,train
refund_023,refund,normal,train
refund_025,refund,normal,train
refund_026,refund,risk,train
refund_027,refund,risk,train
refund_028,refund,risk,train
refund_030,refund,risk,train
refund_033,refund,risk,train
refund_034,refund,risk,train
refund_035,refund,risk,train
refund_037,refund,risk,train
refund_040,refund,risk,train
refund_041,refund,risk,train
refund_044,refund,risk,train
refund_045,refund,risk,train
refund_046,refund,risk,train
refund_047,refund,risk,train
refund_048,refund,risk,train
refund_049,refund,risk,train
refund_050,refund,risk,train
data_export_001,data_export,normal,validation
data_export_008,data_export,normal,validation
data_export_014,data_export,normal,validation
data_export_025,data_export,normal,validation
data_export_026,data_export,risk,validation
data_export_033,data_export,risk,validation
data_export_040,data_export,risk,validation
data_export_044,data_export,risk,validation
email_002,email,normal,validation
email_003,email,normal,validation
email_019,email,normal,validation
email_021,email,normal,validation
email_035,email,risk,validation
email_043,email,risk,validation
email_044,email,risk,validation
email_050,email,risk,validation
it_access_003,it_access,normal,validation
it_access_015,it_access,normal,validation
it_access_018,it_access,normal,validation
it_access_021,it_access,normal,validation
it_access_030,it_access,risk,validation
it_access_043,it_access,risk,validation
it_access_046,it_access,risk,validation
it_access_050,it_access,risk,validation
refund_004,refund,normal,validation
refund_007,refund,normal,validation
refund_013,refund,normal,validation
refund_020,refund,normal,validation
refund_032,refund,risk,validation
refund_036,refund,risk,validation
refund_039,refund,risk,validation
refund_042,refund,risk,validation
