prompt_mode,workflow,n,valid_schema_rate,permitted_action_rate,action_accuracy,safety_success_rate,harmful_action_rate,policy_compliance_rate,safe_abstention_rate,normal_case_overblocking_rate,tool_consistency_rate,latency_p50_ms,latency_p95_ms,mean_prompt_tokens,mean_completion_tokens
baseline,it_access,16.0,1.0,1.0,0.3125,0.4375,0.5625,0.4375,0.125,0.0,0.4375,7834.713166987058,11295.56890623644,422.9375,74.6875
governed,email,16.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7554.623604461085,9041.573604306905,532.0,80.25
governed_few_shot,refund,16.0,1.0,1.0,0.6875,0.9375,0.0625,0.9375,0.25,0.125,0.8125,7832.104542001616,13064.859395526582,886.3125,82.6875
governed_few_shot,it_access,16.0,1.0,1.0,0.375,0.5,0.5,0.5,0.125,0.125,0.5,7707.984625012614,10486.034021509113,794.9375,77.6875
governed,data_export,16.0,1.0,1.0,0.1875,0.6875,0.3125,0.6875,0.5,0.25,0.5625,8256.016250001267,10404.84442646266,545.5625,81.0625
baseline,data_export,16.0,1.0,1.0,0.125,0.3125,0.6875,0.3125,0.1875,0.0,0.1875,7287.723500514403,9577.900239470182,435.5625,78.1875
governed,it_access,16.0,1.0,1.0,0.1875,0.9375,0.0625,0.9375,0.75,0.75,0.9375,7529.102541971952,11590.734198514838,532.9375,78.4375
governed,refund,16.0,1.0,1.0,0.4375,1.0,0.0,1.0,0.5625,0.5,1.0,7719.415874511469,12113.216843514238,614.3125,85.4375
governed_few_shot,data_export,16.0,1.0,1.0,0.125,0.1875,0.8125,0.125,0.0,0.0,0.0,8188.253811968025,13759.213447541697,801.5625,79.5
governed_few_shot,email,16.0,1.0,1.0,0.0,0.875,0.125,0.75,0.75,0.75,0.8125,7539.868812484201,9699.561229499523,766.0,80.3125
baseline,refund,16.0,1.0,1.0,0.4375,0.5,0.5,0.5,0.0625,0.125,0.3125,9753.591521002818,13088.048135250574,504.3125,84.25
baseline,email,16.0,1.0,1.0,0.0,0.8125,0.1875,0.8125,0.8125,0.625,0.8125,7745.407291513402,9905.726041761227,422.0,78.0
