risk_bin,predicted_risk,observed_incident_rate,runs
"(-0.001, 0.1]",0.08588375,0.09375,128
"(0.1, 0.2]",0.15746644081632652,0.14122448979591837,1225
"(0.2, 0.3]",0.25750787384044527,0.24257884972170687,2156
"(0.3, 0.4]",0.3514614460909556,0.32345426673479816,1957
"(0.4, 0.5]",0.4550349166310389,0.45275758871312527,2339
"(0.5, 0.6]",0.5545046983568075,0.5592723004694836,1704
"(0.6, 0.7]",0.6557053959085438,0.6702767749699158,831
"(0.7, 0.8]",0.7471814455172414,0.8013793103448276,725
"(0.8, 0.9]",0.8514468235294117,0.8447058823529412,850
"(0.9, 1.0]",0.939231638418079,0.9593220338983051,885
